country,ex,fv,le,obese,sk
BE,,12.6,80.6,13.7,23.2
BG,9.9,4.4,74.1,14.4,35.5
CZ,28.4,9.1,78.1,18.7,29.0
DK,54.6,25.9,80.1,14.4,21.2
DE,48.3,9.9,80.4,16.4,22.0
EE,23.2,17.3,76.6,19.7,28.4
IE,29.1,28.8,80.7,18.2,22.4
EL,16.7,7.8,80.8,16.9,33.3
ES,34.0,12.4,82.5,16.2,26.0
FR,25.0,14.9,82.2,14.7,28.7
HR,19.4,7.0,77.3,18.0,29.4
IT,18.2,11.8,82.5,10.5,23.2
CY,25.3,16.1,81.5,13.9,30.3
LV,23.3,11.4,73.7,20.8,30.1
LT,19.7,14.1,74.0,16.6,25.8
LU,41.6,15.1,81.5,15.1,20.8
HU,28.6,10.1,75.3,20.6,27.8
MT,34.9,16.8,81.5,25.2,24.6
NL,,25.0,81.1,12.9,25.7
AT,50.4,7.2,80.9,14.3,30.3
PL,17.1,10.1,77.1,16.7,26.9
PT,18.4,18.2,80.6,16.1,20.5
RO,8.6,3.5,74.6,9.1,26.5
SI,37.9,7.5,80.4,18.6,24.7
SK,29.4,10.8,76.4,15.9,30.0
FI,54.6,12.9,80.5,17.8,19.5
SE,54.1,9.0,81.5,13.4,17.1
UK,36.9,33.1,80.7,19.8,17.5
US,51.7,10.0,77.7,37.7,15.5
