title;duration;creator;album;location
A Complicated Song (Parody of "Complicated" by Avril Lavigne);3:39;"Weird Al" Yankovic;Poodle Hat;https://itunes.apple.com/us/album/a-complicated-song-parody-of-complicated-by-avril-lavigne/206901097?i=206902871
Ebay (Parody of "I Want It That Way" by the Backstreet Boys);3:36;"Weird Al" Yankovic;Poodle Hat;https://itunes.apple.com/us/album/ebay-parody-of-i-want-it-that-way-by-the-backstreet-boys/206901097?i=206903768
Fat;3:37;"Weird Al" Yankovic;Even Worse;https://itunes.apple.com/us/album/fat/250500424?i=250500433
Eat It;3:20;"Weird Al" Yankovic;In 3-D;https://itunes.apple.com/us/album/eat-it/250495308?i=250495319
Smells Like Nirvana;3:42;"Weird Al" Yankovic;Off the Deep End;https://itunes.apple.com/us/album/smells-like-nirvana/250495074?i=250495085
Amish Paradise (Parody of "Gangsta's Paradise" by Coolio);3:20;"Weird Al" Yankovic;Bad Hair Day;https://itunes.apple.com/us/album/amish-paradise-parody-of-gangstas-paradise-by-coolio/206900040?i=206900081
White & Nerdy (Parody of "Ridin'" By Chamillionaire featuring Krayzie Bone);2:50;"Weird Al" Yankovic;Straight Outta Lynwood;https://itunes.apple.com/us/album/white-nerdy-parody-of-ridin/309731664?i=309732001
Party In the CIA (Parody of "Party In the U.S.A." By Miley Cyrus);2:56;"Weird Al" Yankovic;Alpocalypse;https://itunes.apple.com/us/album/party-in-the-cia-parody-of-party-in-the-u-s-a-by-miley-cyrus/438383158?i=438383166
Canadian Idiot (Parody of "American Idiot" By Green Day);2:23;"Weird Al" Yankovic;Straight Outta Lynwood;https://itunes.apple.com/us/album/canadian-idiot-parody-of-american-idiot-by-green-day/309731664?i=309732012
Word Crimes;3:43;"Weird Al" Yankovic;Mandatory Fun;https://itunes.apple.com/us/album/word-crimes/891836396?i=891836406
